customer_id,country,product_family,tenure_months,monthly_spend_usd,active_users,weekly_sessions,support_tickets_90d,feature_adoption_score,is_at_risk
100000,SG,Analytics,6,2128.34,251,628,3,59.3,1
100001,IN,Core,36,5443.53,398,217,0,63.2,0
100002,UK,Forecasting,41,5501.0,367,523,0,71.4,0
100003,AU,Forecasting,53,3678.2,252,1080,2,68.6,0
100004,US,Analytics,41,4773.4,309,245,0,54.1,0
100005,UK,Support AI,14,3961.19,283,1199,2,68.3,0
100006,SG,Forecasting,27,4466.1,119,220,3,64.0,0
100007,SG,Core,32,2938.01,284,799,5,92.1,1
100008,US,Support AI,70,4884.74,339,770,1,66.6,0
100009,IN,Core,38,2394.7,32,237,3,69.9,0
100010,DE,Forecasting,46,2187.08,349,568,0,71.6,0
100011,UK,Analytics,53,4065.88,128,175,4,63.5,1
100012,AU,Forecasting,26,3967.63,8,439,1,57.9,0
100013,UK,Support AI,69,4499.53,378,1151,4,74.4,0
100014,IN,Forecasting,48,3485.54,197,67,4,74.6,0
100015,US,Forecasting,61,6274.26,209,1046,1,97.2,0
100016,IN,Support AI,54,4376.67,314,813,3,78.4,0
100017,US,Forecasting,45,4456.17,282,899,1,78.6,0
100018,UK,Support AI,3,4416.96,312,340,3,78.0,0
100019,AU,Analytics,42,5303.2,472,1139,4,58.3,0
100020,SG,Core,10,4833.62,327,306,1,50.4,0
100021,DE,Core,43,4686.22,27,605,3,53.9,1
100022,UK,Forecasting,50,5009.58,115,47,6,77.6,0
100023,UK,Forecasting,39,2192.92,227,1065,3,87.9,0
100024,SG,Core,22,2234.47,238,846,7,78.3,0
100025,US,Core,5,4116.34,183,197,7,65.7,0
100026,IN,Support AI,48,3982.56,96,795,1,91.5,0
100027,US,Forecasting,50,4837.79,57,221,3,61.8,0
100028,US,Support AI,34,4222.02,76,534,5,51.9,0
100029,AU,Core,51,4840.05,475,616,1,71.5,0
100030,SG,Core,56,2829.85,200,1117,2,86.1,0
100031,UK,Analytics,37,4188.18,480,401,1,56.2,0
100032,DE,Support AI,4,2724.84,170,18,0,44.1,0
100033,DE,Forecasting,62,4625.54,159,520,3,68.5,0
100034,IN,Support AI,34,2133.89,247,1112,1,78.8,0
100035,US,Analytics,48,4583.14,473,958,1,26.5,0
100036,US,Analytics,65,2584.1,283,73,1,81.7,0
100037,IN,Forecasting,26,3778.12,22,66,2,48.9,0
100038,US,Support AI,45,5184.42,139,908,4,78.1,0
100039,AU,Analytics,2,4450.12,490,865,1,40.0,1
100040,IN,Forecasting,63,2389.77,81,669,3,47.4,0
100041,UK,Support AI,5,3460.37,418,108,2,76.7,0
100042,SG,Analytics,39,2548.48,464,338,1,85.0,0
100043,DE,Support AI,25,2335.77,111,1017,1,67.9,1
100044,UK,Forecasting,3,4329.43,281,169,0,100.0,1
100045,UK,Support AI,33,4816.33,301,244,2,53.7,0
100046,DE,Analytics,67,4684.67,397,544,5,53.5,0
100047,DE,Forecasting,12,4862.89,400,882,3,63.8,0
100048,AU,Analytics,21,4186.9,34,994,0,63.1,0
100049,US,Forecasting,14,3899.27,163,711,1,72.0,0
100050,US,Analytics,9,3019.62,470,592,4,57.6,0
100051,US,Forecasting,17,3715.91,180,464,4,75.9,1
100052,SG,Support AI,41,2746.52,126,55,2,75.6,0
100053,AU,Analytics,56,3270.32,316,323,0,90.6,0
100054,SG,Analytics,50,4297.82,101,260,2,61.1,0
100055,SG,Analytics,55,4070.41,77,71,4,72.7,0
100056,IN,Forecasting,51,7571.2,399,894,1,76.5,0
100057,IN,Forecasting,28,2719.62,63,425,5,67.9,0
100058,US,Forecasting,64,4062.39,446,612,3,65.0,0
100059,US,Core,13,2633.89,128,243,1,39.1,0
100060,AU,Core,50,3773.44,57,710,1,69.2,0
100061,IN,Core,8,3818.2,371,165,2,76.3,0
100062,IN,Support AI,55,5129.37,92,814,1,67.2,0
100063,SG,Support AI,7,3705.37,186,886,3,57.0,0
100064,AU,Core,16,3989.55,178,375,5,44.5,1
100065,IN,Core,28,3726.65,256,257,3,74.3,0
100066,IN,Support AI,50,2658.84,239,936,0,68.5,0
100067,DE,Forecasting,4,3482.69,101,270,0,87.5,0
100068,US,Analytics,19,3779.87,121,216,2,47.7,0
100069,IN,Forecasting,24,4281.21,101,410,1,61.4,1
100070,US,Core,52,4814.84,32,1159,2,49.5,0
100071,IN,Core,69,3941.94,326,556,2,82.4,0
100072,UK,Analytics,44,3922.61,238,317,0,85.3,0
100073,US,Support AI,37,2307.11,58,617,3,94.9,0
100074,US,Support AI,24,4793.71,169,420,1,75.3,0
100075,DE,Core,59,3434.51,335,798,4,79.0,0
100076,DE,Forecasting,8,5021.84,146,528,3,74.1,0
100077,AU,Support AI,10,5648.08,203,707,4,76.0,0
100078,IN,Support AI,15,3993.29,373,525,2,68.7,1
100079,SG,Support AI,20,3074.36,337,579,2,76.7,0
100080,AU,Core,33,4181.63,351,538,2,98.0,0
100081,IN,Core,68,4583.57,193,474,2,71.1,0
100082,UK,Core,47,3852.93,244,1156,2,68.3,0
100083,US,Core,28,3579.56,423,321,1,70.8,0
100084,US,Core,16,4819.89,436,967,4,65.9,0
100085,US,Analytics,47,4747.34,32,852,0,71.4,0
100086,SG,Forecasting,18,3819.08,419,634,0,65.4,0
100087,IN,Analytics,70,2380.53,447,383,2,84.0,0
100088,US,Analytics,34,4702.02,471,582,5,82.6,0
100089,IN,Core,40,3355.94,137,1019,2,98.3,0
100090,US,Core,65,4435.78,253,220,5,67.7,0
100091,AU,Support AI,22,4366.27,26,704,4,72.0,0
100092,IN,Forecasting,34,2122.16,59,918,4,71.5,1
100093,DE,Core,38,4289.19,283,761,4,70.8,0
100094,DE,Support AI,20,4765.99,106,175,1,83.8,1
100095,AU,Support AI,4,4900.87,116,612,2,45.3,1
100096,DE,Support AI,21,4329.1,151,222,2,74.4,0
